iter	Passed	Remaining
799	2960	740
800	2965	736
801	2967	732
802	2968	728
803	2969	724
804	2971	719
805	2973	715
806	2974	711
807	2975	707
808	2980	703
809	2982	699
810	2983	695
811	2985	691
812	2986	686
813	2987	682
814	2989	678
815	2990	674
816	2995	670
817	2996	666
818	2998	662
819	3000	658
820	3001	654
821	3002	650
822	3004	646
823	3005	641
824	3010	638
825	3011	634
826	3013	630
827	3015	626
828	3016	622
829	3018	618
830	3019	614
831	3021	610
832	3026	606
833	3028	602
834	3029	598
835	3030	594
836	3032	590
837	3033	586
838	3035	582
839	3036	578
840	3042	575
841	3043	571
842	3044	567
843	3046	563
844	3047	559
845	3048	555
846	3050	551
847	3054	547
848	3057	543
849	3059	539
850	3064	536
851	3066	532
852	3070	529
853	3072	525
854	3073	521
855	3075	517
856	3076	513
857	3078	509
858	3079	505
859	3081	501
860	3085	498
861	3086	494
862	3089	490
863	3090	486
864	3092	482
865	3093	478
866	3094	474
867	3096	470
868	3100	467
869	3102	463
870	3104	459
871	3106	455
872	3107	452
873	3108	448
874	3110	444
875	3111	440
876	3116	437
877	3118	433
878	3119	429
879	3120	425
880	3122	421
881	3123	417
882	3124	414
883	3126	410
884	3130	406
885	3133	403
886	3134	399
887	3135	395
888	3137	391
889	3138	387
890	3139	384
891	3141	380
892	3144	376
893	3146	373
894	3150	369
895	3151	365
896	3153	362
897	3154	358
898	3159	354
899	3161	351
900	3165	347
901	3167	344
902	3168	340
903	3170	336
904	3171	332
905	3173	329
906	3175	325
907	3176	321
908	3177	318
909	3179	314
910	3181	310
911	3185	307
912	3187	303
913	3188	300
914	3191	296
915	3192	292
916	3194	289
917	3196	285
918	3200	282
919	3202	278
920	3203	274
921	3204	271
922	3206	267
923	3208	263
924	3209	260
925	3214	256
926	3221	253
927	3254	252
928	3256	248
929	3265	245
930	3268	242
931	3270	238
932	3287	236
933	3299	233
934	3302	229
935	3317	226
936	3319	223
937	3332	220
938	3335	216
939	3337	213
940	3354	210
941	3357	206
942	3359	203
943	3361	199
944	3368	196
